Unnamed: 0,category,amt,gender,city_pop,is_fraud,trans_date,trans_time,time_of_day,Age
452853,0,6.46,1,1263321,0,200,39501,2,1
589128,3,27.58,1,895,0,249,42042,2,2
332468,6,92.48,1,99,0,157,48447,0,0
1263506,2,39.6,1,308,0,524,16740,3,1
1040394,7,268.1,1,31515,0,430,75723,1,0
666742,5,1.99,1,24840,0,283,58201,0,1
516185,12,2.6,0,5760,0,222,45311,2,0
1015537,4,135.7,1,198,0,418,30118,2,1
1135176,0,4.77,0,475,0,472,21369,3,1
608815,6,122.16,1,4471,0,257,67711,1,0
566282,3,51.88,0,34882,0,240,23351,3,0
602261,4,85.09,0,241,0,255,25525,2,0
853590,2,67.54,1,301,0,349,5975,3,0
1296623,9,38.81,1,2395,0,536,42531,2,0
453589,8,1.5,1,238602,0,200,56414,0,0
886795,1,156.61,0,4993,0,356,40447,2,1
1029923,12,2.03,1,92608,0,425,69227,1,2
1259078,12,7.57,1,47772,0,523,7885,3,0
1282947,3,83.44,0,888,0,531,1633,3,0
415241,6,13.13,0,3104,0,186,76110,1,0
766584,6,5.25,1,673342,0,327,45979,2,0
1159822,13,4.66,0,190,0,482,52005,0,0
667990,3,63.85,0,6469,0,284,19088,3,0
367352,1,29.28,0,21125,0,169,45115,2,0
567865,0,13.73,1,71335,0,240,79258,3,0
1043234,6,76.47,1,823,0,431,82165,3,0
392075,9,2.09,1,687276,0,178,69252,1,0
643246,9,5.56,1,17867,0,272,54745,0,2
210770,10,11.2,0,4542,0,106,67472,1,2
369163,2,57.25,0,1304,0,170,32295,2,0
1155650,9,19.85,0,344,0,481,21551,3,0
1208815,6,4.08,1,3224,0,503,84524,3,2
306113,10,86.57,0,1766,0,147,45197,2,0
400977,2,50.81,0,31394,0,181,28377,2,2
1123474,3,24.06,1,2870,0,467,2761,3,2
116176,6,24.81,1,4729,0,64,79435,3,0
1230395,7,50.86,1,18408,0,512,69957,1,0
769795,13,8845.93,1,471,0,328,46851,0,0
73237,7,34.61,0,1923,0,42,55759,0,1
1296550,3,35.68,1,1382480,0,536,40220,2,0
7668,9,1.22,0,172247,0,5,987,3,0
465070,4,117.55,0,1019,0,204,20771,3,0
910951,2,56.66,1,92608,0,362,24633,3,2
531351,2,71.29,1,565,0,228,8273,3,0
809182,12,1.56,0,5760,0,339,72177,1,0
622952,11,8.39,0,1293,0,264,18045,3,1
69132,0,112.82,1,348,0,40,71837,1,1
889781,5,36.18,0,324,0,356,77690,1,0
1278764,4,81.19,1,795,0,530,1176,3,0
1276778,12,105.27,0,71485,0,529,45549,2,0
1180121,9,6.21,1,116001,0,491,80070,3,0
269815,10,6.39,1,33804,0,132,47737,0,0
482655,3,16.53,1,5196,0,210,6776,3,0
301008,10,121.58,0,1324,0,145,76135,1,1
736772,5,96.81,0,186140,0,313,81303,3,0
499059,2,47.86,0,969,0,216,9576,3,1
438670,7,110.46,1,134056,0,194,72691,1,1
355441,10,135.25,0,4198,0,165,57870,0,2
818392,13,7.71,0,759,0,341,50824,0,1
35762,6,5.52,0,1312922,0,20,78134,1,2
744283,10,24.78,0,9521,0,317,62597,1,0
1003010,2,77.68,0,1631,0,411,7239,3,1
371421,2,48.15,0,271,0,171,27305,2,0
258036,0,7.73,1,105549,0,127,55516,0,0
859348,5,27.72,1,804,0,349,86093,3,0
1198530,11,92.99,1,95,0,500,30447,2,0
50614,9,6.21,0,378909,0,29,42505,2,0
218467,12,1.86,0,4424,0,110,27782,2,1
489581,12,1.8,1,3223,0,213,29439,2,1
741230,1,6.75,0,888,0,315,74946,1,0
994671,1,46.04,0,186140,0,405,57360,0,0
268908,9,71.52,0,5726,0,132,17865,3,1
1260350,12,147.58,1,1532,0,523,42729,2,0
848670,2,72.78,1,471,0,348,31267,2,0
620065,3,83.29,0,18128,0,263,13659,3,0
692098,5,76.79,1,795,0,293,82143,3,0
789946,5,86.29,1,276896,0,334,84896,3,2
873603,2,76.91,0,9594,0,354,14323,3,2
837951,1,132.0,0,459921,0,346,2748,3,1
765529,3,49.59,1,18182,0,327,10359,3,0
46976,0,207.39,1,172817,0,27,60442,0,0
993120,7,69.57,1,4677,0,404,80933,3,1
306994,13,8.79,1,2092,0,147,79421,3,1
214425,7,110.38,1,25459,0,108,68384,1,0
133618,7,192.37,0,6460,0,72,72202,1,1
963164,11,8.17,0,1684,0,387,62123,1,0
987985,12,6.83,0,2856,0,402,30948,2,1
1248787,12,4.49,1,695,0,519,2552,3,1
1082899,6,9.33,1,2471,0,448,60811,0,0
647769,5,75.15,1,1126,0,274,83183,3,0
580420,7,11.16,1,2443,0,244,67292,1,1
1088209,1,93.26,0,100,0,451,67422,1,0
500982,0,25.17,1,571,0,216,56555,0,0
318162,3,58.71,1,11250,0,152,25364,2,0
1093100,7,21.92,1,817312,0,453,53053,0,2
762829,0,6.43,1,9034,0,326,10141,3,0
707044,5,73.78,1,686,0,300,56255,0,0
728854,9,8.73,0,6841,0,310,70660,1,2
1208537,10,11.41,1,9165,0,503,78996,1,1
1146035,2,75.95,0,509,0,476,32492,2,0
744150,7,84.62,1,1766,0,317,56968,0,1
511332,4,115.6,1,298,0,221,7124,3,1
453986,10,117.34,0,1089,0,200,64979,1,0
1222355,0,75.04,1,1446,0,509,73791,1,0
14145,6,46.08,0,67082,0,7,78358,1,1
